m1,K,outer_iter,dx2,dy2,dxy2,replaced_index
500,1000,1000,0.0002575202379375696,1.7550854190112597e-09,0.000257521984167397,0
500,1000,1000,0.00025826721685007215,2.419452964363966e-09,0.0002582696615718305,166
500,1000,1000,0.000158406124683097,1.154529233500512e-09,0.0001584072451805696,332
500,1000,1000,0.00022473119315691292,1.7763558722919126e-09,0.00022473296363993237,avg
500,2000,2000,0.0006737718358635902,2.119987240443988e-08,0.0006737929652445018,0
500,2000,2000,0.00043043791083619,1.0892699929543337e-08,0.0004304487374611199,166
500,2000,2000,0.000774895423091948,2.0352586584809762e-08,0.0007749156793579459,332
500,2000,2000,0.0006263683899305761,1.748171963959766e-08,0.0006263857940211892,avg
2000,1000,1000,9.230553405359387e-05,4.2686985196604965e-10,9.230593423126265e-05,0
2000,1000,1000,6.430962821468711e-05,3.9200148525429454e-10,6.431000656448305e-05,666
2000,1000,1000,0.00019334358512423933,1.1675162139694086e-09,0.00019334472017362714,1332
2000,1000,1000,0.00011665291579750676,6.621291837299176e-10,0.00011665355365645762,avg
2000,2000,2000,0.00017852973542176187,3.967769810625521e-09,0.00017853369354270399,0
2000,2000,2000,0.0001334469416178763,3.783766299413072e-09,0.00013345071056392044,666
2000,2000,2000,0.00031792561640031636,9.402066155576178e-09,0.0003179350169375539,1332
2000,2000,2000,0.0002099674311466515,5.71786742187159e-09,0.00020997314034805944,avg
